hash,blockNumber,timeStamp,from,to,value_LPT
0x23078dd846f9213c0202d6991b4aae0544dddbfd12b63c4e66e0cb12ed7a0264,16334791,1672851779,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,174069.91100000002
0xab462241fbade74fda557273e9727fde0426f92b780a8825606412c6f9dbf8c4,16338972,1672902167,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,191744.371
0xba764ce7518f0a3bba8e5b12dbe3e9274eb035a16836d0338f25f0b2bd770590,16488319,1674703883,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,937830.829
0xc10c31e3adffcd8721c83e14f79dd39c8b10bc819d7c4d8d9c9c4206d00f8400,16518116,1675063319,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,85820.68699999999
0xfb6b6d64db6201f959f55a041127c7ea266c173abfe26ffe9961871720db1f92,16518116,1675063319,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xf977814e90da44bfa03b6295a0616a897441acec,84484.035
0xf694ed7cc0912d056f71ad73d000fbc61d64abab0a23ece350ee96857c459fc0,16518116,1675063319,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,743866.754
0x8f48c84e670d41074b0f3c63e823cc6816aaee8d3227459a8a027f2163f5f97d,16520939,1675097339,0xf977814e90da44bfa03b6295a0616a897441acec,0x76f52d1ae6bbecd0c777185116954da424502f31,8900.0
0x2b9b752500266bd28382c0a20c2b242d27bdd92034579fa1d2e1b700b3b7b342,16520939,1675097339,0x6a23f4940bd5ba117da261f98aae51a8bffa210a,0xf977814e90da44bfa03b6295a0616a897441acec,30000.0
0x213c770ac0f884bc25b53aa88dbfb0c0ee13a532b12096696e71e14eefa5a2bc,16594041,1675980107,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,115748.099
0x32e457c12042357be2fc337eecdb1720e157cbc766550497ad4a9668c8b12337,16632994,1676450195,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,251019.575
0x803f0d2523691f3ff88c84d0cbd7c10ec368581743ef271f79fe95ca50d694c6,16633016,1676450459,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,124328.042
0xe4c271a7977b35909fe53e6f0a421be2726ae9704c29010105d8196edae96f48,16637902,1676509535,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,424328.04199999996
0x26316dff582371852991c4881eda6b7917a53c5fc2eab3d2632f1ff8bd9426b5,16637979,1676510471,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,352564.507
0x61f3a7ef942555c8200c3d84b8134cd86cd48ea0ae953b500ea721bcf173a094,16655680,1676725283,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,112331.91600000001
0x7ca632a9e874fe08ef3485b2ce17b0d7f227d7fb471e1786d13da4e1f5117a89,16667845,1676872871,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,162461.737
0xcc0f8e53430b4a15217d4391fbd848810db6e7650590943dad56086ff038e64c,16669129,1676888483,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,135281.968
