ts,price,market_cap,volume,apy_30,corr_btc_30,corr_eth_30,corr_btc_60,corr_eth_60
2025-08-15,6.473301698426291,280415559.4391584,26138745.548011277,-0.09129936429989549,0.6444700784239281,0.8681835773708936,,
2025-08-16,6.80990263253552,295832731.0683694,29483503.014292613,-0.04867690975933636,0.6247787833151578,0.8199656389035213,,
2025-08-17,6.821071268272995,296442632.10713583,113457318.71508172,-0.05889460662760726,0.6556138717569786,0.8176840766946388,,
2025-08-18,6.378123826868214,277802846.20583427,47574268.36244042,-0.11288152566636367,0.6691851724970638,0.8297937970269867,,
2025-08-19,6.1676438917228475,268808081.4674093,26879035.149692148,-0.1882790232240502,0.6885975017141666,0.8151590171570917,,
2025-08-20,6.45131816457212,281184375.99975735,22559427.77379653,-0.1697188458603126,0.7021834216578675,0.8286174962164246,,
2025-08-21,6.29310237616903,274413674.6193546,17039749.126242723,-0.18164801042422585,0.7317169844454491,0.8296834088260218,,
2025-08-22,6.827489395293329,298208493.47231054,31033558.568311222,-0.023682097070557684,0.7770258830349008,0.8457610473570787,,
2025-08-23,6.755755630929961,294610997.1481222,19278071.378946148,-0.02628212198093638,0.7751910608211724,0.8519935299693685,,
2025-08-24,6.616712800694361,288935791.5547723,21060041.581766345,-0.03964513469204756,0.775996773618229,0.8517922122567437,0.6318880083661121,0.7443815799469832
2025-08-25,5.900431072538906,258452413.23938152,24696416.75453845,-0.14366127057194988,0.7979574202275949,0.871345755354013,0.6563384798623264,0.7675861785540329
2025-08-26,6.571130978555152,287573969.5465229,106652881.31469454,-0.09289155353228573,0.787698009715615,0.855216696435647,0.6716832967586903,0.7861523928729166
2025-08-27,7.559089630370619,329582805.7664652,553943811.1353357,0.12779125914984313,0.6886096757452602,0.7205665461392986,0.612466017146379,0.6983713751459577
2025-08-28,7.842502815053471,345676327.7558667,440777928.6058261,0.191336222813822,0.6943472452530589,0.713549871567996,0.6300326648349382,0.7119145297519227
2025-08-29,6.89060894894705,302301492.56354135,121550441.46376155,0.06744503038603233,0.734514745825488,0.7125971011209107,0.6626435718955014,0.7194031671902859
2025-08-30,7.0768025873587055,310577587.92259955,68603897.74038488,0.12430440795933406,0.7331381971381994,0.7074890806406239,0.6609835344311055,0.7162093344445328
2025-08-31,6.906820513996254,303591535.30011106,36306379.52037715,0.1783682288100421,0.7101523751216499,0.6822544477450764,0.6528546507359686,0.7083350050986246
2025-09-01,6.538429960121273,287438124.91988957,32582173.421573084,0.10869401073585516,0.7033904011075279,0.6948006017693017,0.6532279888510063,0.7138558552838017
2025-09-02,6.702242894987255,294814270.3092811,21091269.942690074,0.09867229992759774,0.6904272668863923,0.6921456444411421,0.6455572497800711,0.7079381304554637
2025-09-03,7.085974077036614,312263058.585128,57043528.82750776,0.09512760823479827,0.688803548904296,0.686240119951662,0.6493997401074061,0.7171353069106776
2025-09-04,6.663031237128176,292822127.28420776,35971485.16962617,0.09528316465710218,0.6782917683646469,0.6839279785035504,0.6488736341080193,0.7234620171979753
2025-09-05,6.870882745792518,303135977.60649925,27328108.91619495,0.10162576946850499,0.6701251442688119,0.675081366566928,0.6402798349177581,0.7147761205839576
2025-09-06,6.979021653676193,308083222.2754412,78643529.71764544,0.06995859084049649,0.6626746148277558,0.6675143662067727,0.6369166020509173,0.710858656818323
2025-09-07,6.969698955851984,307777309.96163934,30024661.804808766,0.034811801030795175,0.6627294658590562,0.6640865600776664,0.6382190723521122,0.7168400761440887
2025-09-08,7.033564822977671,310738107.27273506,24646653.09395625,0.018166394078022563,0.6637648074030085,0.6688503235627169,0.6275484217034439,0.7067250144853182
2025-09-09,7.121052918610898,314448049.09769917,42157514.789139524,0.03652411368952602,0.6863695489772967,0.6683531131733337,0.6374562239657685,0.7050671630217753
2025-09-10,7.036741256252847,311610120.24104124,26036087.821638122,0.09470980821852426,0.6677948871299064,0.676549560979038,0.6189226297092963,0.7040537378510126
2025-09-11,7.172478013721428,317994732.5418487,27803896.626141705,0.03871557134987147,0.6625869457577573,0.6587705549918429,0.620902297601025,0.7046576214540107
2025-09-12,7.3175780074974695,324557112.31046015,21867110.889360365,0.024669514199580966,0.6659544509074741,0.6463999333713629,0.6181455078431998,0.7023082218382564
2025-09-13,7.364369975449569,326772971.44476575,24039938.530966293,0.13528646337169326,0.625251591250767,0.6213508442397272,0.6315225017811064,0.7004124302988376
2025-09-14,7.076867202191482,314460500.1229145,17276725.403880328,0.09323920495037741,0.6161205360051436,0.6201507369695549,0.6244575026660572,0.7062213356917877
2025-09-15,6.743984555641654,299646427.2936631,22884330.28814455,-0.009679738529436599,0.6296914644124834,0.6472022209704965,0.6267806759411936,0.7121653486803884
2025-09-16,6.824169943502307,303508313.7265606,13943526.366278032,0.0004542798495201783,0.6274986435416267,0.6505448794899155,0.6379343082187164,0.7112442215979811
2025-09-17,7.066745490532502,314529883.2002899,19050762.684316836,0.10796617976644418,0.6126310342788867,0.6367005211891882,0.6358287463574559,0.7124233849035123
2025-09-18,7.150263169285004,319150609.6233833,22826958.394103467,0.15931841961253057,0.6098677012277796,0.6291393512308617,0.645476901122613,0.7049715608712986
2025-09-19,6.799186828670496,303225508.5462151,16751254.763876704,0.053922106339247655,0.6121161037601389,0.6306606152375288,0.6506794899182804,0.709697792281281
2025-09-20,6.905451211389743,308113504.7291088,10817882.836040832,0.0973047629956858,0.6098068194207081,0.6266246954130905,0.666188136374733,0.7093666598460608
2025-09-21,6.772393147717567,302138386.9705368,12371187.81103381,-0.008069766847786819,0.5689572342841815,0.6323495266264016,0.6656209777433472,0.7066098553790375
2025-09-22,6.270744095784076,280171045.58536524,28971410.254318982,-0.07179234443077676,0.6039803239789792,0.6599935830461519,0.6786105768850187,0.7236423292342598
2025-09-23,6.422958508924437,286697210.60817474,13314252.427554417,-0.029282560329592755,0.6057494399818414,0.6638961552090805,0.6792248367910345,0.7222459768058064
